speaker,date,speaker_id,votingmember,ambdiss,tighterdiss,easierdiss
angell,1988-01-05,id_0,1,0,0,0
stern,1988-01-05,id_55,1,0,0,0
keehn,1988-01-05,id_27,1,0,0,0
kelley,1988-01-05,id_28,1,0,0,0
boehne,1988-01-05,id_5,1,0,0,0
heller,1988-01-05,id_21,1,0,0,0
boykin,1988-01-05,id_6,1,0,0,0
greenspan,1988-01-05,id_18,1,0,0,0
seger,1988-01-05,id_54,1,1,0,0
johnson,1988-01-05,id_25,1,0,0,0
corrigan,1988-01-05,id_8,1,0,0,0
kelley,1988-02-10,id_28,1,0,0,0
boehne,1988-02-10,id_5,1,0,0,0
stern,1988-02-10,id_55,1,0,0,0
johnson,1988-02-10,id_25,1,0,0,0
keehn,1988-02-10,id_27,1,0,0,0
seger,1988-02-10,id_54,1,0,0,0
boykin,1988-02-10,id_6,1,0,0,0
heller,1988-02-10,id_21,1,0,0,0
corrigan,1988-02-10,id_8,1,0,0,0
angell,1988-02-10,id_0,1,0,0,0
greenspan,1988-02-10,id_18,1,0,0,0
angell,1988-03-29,id_0,1,0,0,0
forrestal,1988-03-29,id_15,1,0,0,0
hoskins,1988-03-29,id_24,1,0,0,0
johnson,1988-03-29,id_25,1,0,0,0
parry,1988-03-29,id_45,1,0,0,0
seger,1988-03-29,id_54,1,0,0,1
black,1988-03-29,id_3,1,0,0,0
corrigan,1988-03-29,id_8,1,0,0,0
greenspan,1988-03-29,id_18,1,0,0,0
kelley,1988-03-29,id_28,1,0,0,0
heller,1988-03-29,id_21,1,0,0,0
parry,1988-05-17,id_45,1,0,1,0
corrigan,1988-05-17,id_8,1,0,0,0
hoskins,1988-05-17,id_24,1,0,1,0
forrestal,1988-05-17,id_15,1,0,0,0
johnson,1988-05-17,id_25,1,0,0,0
seger,1988-05-17,id_54,1,0,0,0
kelley,1988-05-17,id_28,1,0,0,0
black,1988-05-17,id_3,1,0,0,0
greenspan,1988-05-17,id_18,1,0,0,0
heller,1988-05-17,id_21,1,0,0,0
angell,1988-05-17,id_0,1,0,0,0
parry,1988-06-30,id_45,1,0,0,0
seger,1988-06-30,id_54,1,0,0,1
black,1988-06-30,id_3,1,0,0,0
johnson,1988-06-30,id_25,1,0,0,0
forrestal,1988-06-30,id_15,1,0,0,0
hoskins,1988-06-30,id_24,1,0,0,0
greenspan,1988-06-30,id_18,1,0,0,0
heller,1988-06-30,id_21,1,0,0,0
angell,1988-06-30,id_0,1,0,0,1
kelley,1988-06-30,id_28,1,0,0,1
corrigan,1988-06-30,id_8,1,0,0,0
seger,1988-08-16,id_54,1,0,0,0
parry,1988-08-16,id_45,1,0,0,0
forrestal,1988-08-16,id_15,1,0,0,0
black,1988-08-16,id_3,1,0,0,0
johnson,1988-08-16,id_25,1,0,0,0
greenspan,1988-08-16,id_18,1,0,0,0
laware,1988-08-16,id_31,1,0,0,0
hoskins,1988-08-16,id_24,1,0,1,0
angell,1988-08-16,id_0,1,0,0,0
corrigan,1988-08-16,id_8,1,0,0,0
heller,1988-08-16,id_21,1,0,0,0
laware,1988-09-20,id_31,1,0,0,0
black,1988-09-20,id_3,1,0,0,0
hoskins,1988-09-20,id_24,1,0,0,0
seger,1988-09-20,id_54,1,0,0,0
heller,1988-09-20,id_21,1,0,0,0
kelley,1988-09-20,id_28,1,0,0,0
johnson,1988-09-20,id_25,1,0,0,0
forrestal,1988-09-20,id_15,1,0,0,0
corrigan,1988-09-20,id_8,1,0,0,0
parry,1988-09-20,id_45,1,0,0,0
angell,1988-09-20,id_0,1,0,0,0
greenspan,1988-09-20,id_18,1,0,0,0
seger,1988-11-01,id_54,1,1,0,0
